idJogo,idPlataforma
1,1
2,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
12,1
11,11
13,13
15,13
17,13
19,13
21,13
23,13
24,13
26,13
33,13
37,13
39,13
41,13
42,13
44,13
51,13
52,13
53,13
59,13
69,13
752,13
754,13
26,27
33,27
53,27
30,30
36,30
31,31
32,31
35,31
38,31
50,31
46,46
61,46
62,46
81,46
82,46
46,47
57,57
60,57
72,57
74,57
89,57
57,58
763,58
63,63
70,63
76,63
80,63
83,63
86,63
88,63
90,63
92,63
95,63
757,63
760,63
63,64
70,64
83,64
86,64
90,64
92,64
95,64
757,64
760,64
763,64
67,67
68,67
73,67
79,67
74,75
83,75
92,75
95,75
101,75
105,75
109,75
115,75
120,75
754,75
757,75
760,75
763,75
769,75
775,75
780,75
786,75
789,75
799,75
95,96
763,96
769,96
780,96
95,99
101,99
105,99
109,99
115,99
120,99
769,99
775,99
780,99
789,99
100,100
101,100
105,100
109,100
115,100
120,100
775,100
786,100
789,100
104,104
105,108
109,110
115,110
120,110
763,110
775,110
780,110
109,113
115,113
120,113
775,113
780,113
795,113
799,113
109,114
125,125
751,126
788,126
795,126
752,128
754,128
763,138
780,138
769,144
792,144
797,144
769,145
792,145
769,146
792,169
797,173
799,174
802,177
