Year,Title,Game,Platform(s)
2012,Artorias of the Abyss,Dark Souls,PlayStation 3
2014,Crown of the Sunken King,Dark Souls II,PlayStation 3
2014,Crown of the Sunken King,Dark Souls II, Xbox 360
2014,Crown of the Old Iron King,Dark Souls II,PlayStation 3
2014,Crown of the Old Iron King,Dark Souls II, Xbox 360
2014,Crown of the Old Iron King,Dark Souls II, Windows
2014,Crown of the Ivory King,Dark Souls II,PlayStation 3
2014,Crown of the Ivory King,Dark Souls II, Xbox 360
2014,Crown of the Ivory King,Dark Souls II, Windows
2015,The Old Hunters,Bloodborne,PlayStation 4
2016,Ashes of Ariandel,Dark Souls III,PlayStation 4
2016,Ashes of Ariandel,Dark Souls III, Xbox One
2016,Ashes of Ariandel,Dark Souls III, Windows
2017,The Ringed City,Dark Souls III,PlayStation 4
2017,The Ringed City,Dark Souls III, Xbox One
2017,The Ringed City,Dark Souls III, Windows
2024,Shadow of the Erdtree,Elden Ring,PlayStation 4
2024,Shadow of the Erdtree,Elden Ring, PlayStation 5
2024,Shadow of the Erdtree,Elden Ring, Windows
2024,Shadow of the Erdtree,Elden Ring, Xbox One
2024,Shadow of the Erdtree,Elden Ring, Xbox Series X/S
2024,Shadow of the Erdtree,Elden Ring, Nintendo Switch 2
